BR ID,Business need,Acceptance criterion,Implementation,File / function,Test / evidence,Status,Gap / next action,Responsible role
BR-001,Know the evidence each metric needs,"Authenticated users can inspect fields, applicability and collection guidance for all 18 definitions.",Metric catalog + guided choice and preparation screens,"ltef/requirements.py:data_requirements; ltef/web/data.js:chooseDataMetrics, prepareData",tests/test_requirements.py:test_catalog_covers_executable_metrics_and_supplied_evidence; scripts/check_data_workflow.py,Implemented · verified,Catalog must evolve with every scorer change.,Product / study lead
BR-002,Start with compatible files,Researcher/Admin downloads a valid ZIP filtered to selected sector and metric IDs.,Synthetic three-file starter + README and correct prompt fingerprints,ltef/requirements.py:starter_bundle; ltef/web/data.js:prepareData,tests/test_requirements.py:test_templates_are_sector_scoped_valid_and_explicitly_synthetic; test_template_selection_is_exact_and_invalid_choices_rejected; scripts/check_data_workflow.py,Implemented · verified,Starter is synthetic; it is not a representative dataset or collection adapter.,Dataset author
BR-003,Supply a consistent data contract,"Reject duplicate observations/JSON keys, unknown cases, invalid numbers and malformed scope/policy fields before saving.",JSON/JSONL parsing plus canonical schema validation,ltef/schema.py; ltef/requirements.py:load_upload; ltef/webapp.py:Workspace.run,"tests/test_ltef.py:test_duplicate_observation_rejected, test_unknown_case_rejected, test_nonfinite_measurement_and_boolean_token_count_rejected, test_duplicate_json_keys_rejected; tests/test_webapp.py:test_invalid_inputs_do_not_create_runs",Implemented · verified,No form editor or CSV conversion; users provide schema-compliant files.,Collection engineer
BR-004,Bind observations to the prompts tested,Every record references a known case/system/trial and exact canonical messages digest.,Record linkage and SHA-256 match validation,"ltef/schema.py:digest, validate_bundle",tests/test_ltef.py:test_wrong_prompt_rejected; tests/test_webapp.py:test_prompt_hash_mismatch_rejected_and_atomic,Implemented · verified,Hashes detect internal mismatch; provider capture remains unverified.,Collection engineer
BR-005,Check readiness without polluting history,Preflight returns valid/invalid structure and per-metric coverage without saving; replacing a file removes run readiness.,In-memory readiness + guarded browser payload; run revalidates,"ltef/requirements.py:readiness; ltef/webapp.py:Handler.do_POST; ltef/web/data.js:validatePreparedData, runPreparedData","tests/test_requirements.py:test_readiness_does_not_persist_and_actual_run_revalidates, test_readiness_distinguishes_missing_failed_and_inapplicable; scripts/check_data_workflow.py",Implemented · verified,"Structural validity does not validate sampling, annotations or outcomes.",Researcher
BR-006,Keep metrics scoped to a study,Profile fixes sector/metrics/grouping/minimum cases and rejects calibrated thresholds.,Versioned profiles; selected sector case set,ltef/schema.py:validate_profile; ltef/engine.py:evaluate,tests/test_ltef.py:test_no_calibrated_thresholds_implied; tests/test_requirements.py:test_template_selection_is_exact_and_invalid_choices_rejected,Implemented · verified,Sector naming alone does not establish domain validity.,Study lead
BR-007,Measure deterministic answer accuracy and confidence,Exact/numeric matching rejects extraneous numeric answers and nonfinite values; calibration uses reference correctness.,Reference matching and Brier scorer,"ltef/metrics.py:accuracy, score","tests/test_ltef.py:test_numeric_reference_does_not_accept_extraneous_answer_or_nan, test_case_normalization_supports_unicode_and_whitespace, test_demo_has_known_outcomes_and_missingness",Implemented · verified,No semantic answer judge; confidence validity must be established externally.,Evaluation engineer
BR-008,Avoid treating missing review as a clean result,Annotation identity/method/rubric is required; absent or empty claim reviews remain unmeasured.,Annotation validation and supported-claim calculation,ltef/schema.py:validate_bundle; ltef/metrics.py:score,"tests/test_ltef.py:test_annotation_requires_provenance, test_empty_claims_never_pass, test_missing_annotations_never_pass",Implemented · verified,"Rubric quality, claim completeness and reviewer agreement are outside scoring.",Domain adjudicator
BR-009,Use clinical metrics only with clinical evidence,"Healthcare cases require explicitly supplied clinical review; no review yields zero measured observations, not zero clinical errors.",Healthcare eligibility and major-error indicator,ltef/metrics.py:score; ltef/requirements.py:readiness,tests/test_requirements.py:test_missing_reviews_do_not_become_zero_error_results; scripts/check_data_workflow.py,Implemented · verified,Clinical validity and clinician agreement have not been established.,Clinical study lead
BR-010,Measure defined safety/privacy behavior,"Apply canary, attack, benign and escalation metrics only to scoped cases with needed responses/labels.",Narrow privacy probe and supplied safety outcome scorers,ltef/metrics.py:score; ltef/schema.py:validate_cases,"tests/test_ltef.py:test_demo_has_known_outcomes_and_missingness, test_missing_annotations_never_pass, test_trace_privacy_scope_excludes_cases_without_canaries",Implemented · verified,"These probes do not establish comprehensive security, privacy or safe use.",Safety evaluator
